category,subcategory,label,prompt,
Person,Subject,1女孩,1girl,
Person,Subject,1男孩,1boy,
Person,Subject,2女孩,2girls,
Person,Subject,2男孩,2boys,
Person,Subject,3女孩,3girls,
Person,Subject,3男孩,3boys,
Person,Subject,女孩,girl,
Person,Subject,男孩,boy,
Person,Subject,单人,solo,
Person,Subject,多个女孩,multiple_girls,
Person,Subject,小女孩,little_girl,
Person,Subject,小男孩,little_boy,
Person,Subject,正太,shota,
Person,Subject,萝莉,loli,
Person,Subject,幼童,toddler,
Person,Subject,幼儿园,kindergartener,
Person,Subject,儿童,child,
Person,Subject,未成年,underage,
Person,Subject,青少年,teenager,
Person,Subject,青少年,teen,
Person,Subject,青少年早期,early teen,
Person,Subject,大人,adult,
Person,Subject,老人,elder,
Person,Subject,老年,old,
Person,Subject,可爱,kawaii,
Person,Subject,雌小鬼,mesugaki,
Person,Subject,可爱的女孩,adorable_girl,
Person,Subject,美少女,bishoujo,
Person,Subject,辣妹,gyaru,
Person,Subject,姐妹,sisters,
Person,Subject,大小姐,ojousama,
Person,Subject,女性,female,
Person,Subject,成熟女性,mature_female,
Person,Subject,成熟,mature,
Person,Subject,痴女,female_pervert,
Person,Subject,男性,male,
Person,Subject,熟女,milf,
Person,Subject,伪娘,otoko_no_ko,
Person,Subject,伪娘,crossdressing,
Person,Identity,救生员,lifeguard,
Person,Identity,拳击手,boxer,
Person,Identity,科学家,scientist,
Person,Identity,运动员,athletes,
Person,Identity,职场女性,office lady,
Person,Identity,和尚,monk,
Person,Identity,杂技演员,acrobat,
Person,Identity,修女,nun,
Person,Identity,护士,nurse,
Person,Identity,空姐,stewardess,
Person,Identity,学生,student,
Person,Identity,女服务员,waitress,
Person,Identity,老师,teacher,
Person,Identity,赛车手,racer,
Person,Identity,警察,police,
Person,Identity,士兵,soldier,
Person,Identity,啦啦队,cheerleader,
Person,Identity,男演员,actor,
Person,Identity,女演员,actress,
Person,Identity,间谍,spy,
Person,Identity,特工,agent,
Person,Identity,刺客,assassin,
Person,Identity,诗人,poet,
Person,Identity,日本武士,samurai,
Person,Identity,舞女,dancing girl,
Person,Identity,摩托车手,motorcyclist,
Person,Identity,黑客,hacker,
Person,Identity,魔术师,magician,
Person,Identity,侦探,detective,
Person,Identity,人偶,doll,
Person,Identity,女仆,maid,
Person,Identity,飞行员,pilot,
Person,Identity,潜水员,diver,
Person,Identity,酒吧审查员,bar censor,
Person,Identity,传教士,missionary,
Person,Identity,消防员,firefighter,
Person,Identity,守门员,goalkeeper,
Person,Identity,厨师,chef,
Person,Identity,宇航员,astronaut,
Person,Identity,收银员,cashier,
Person,Identity,邮递员,mailman,
Person,Identity,咖啡师,barista,
Person,Identity,隐士,the hermit,
Person,Identity,牧羊人,makihitsuji,
Person,Identity,办公室小姐,office_lady,
Person,Identity,赛车女郎,race_queen,
Person,Identity,女王,queen,
Person,Identity,医生,doctor,
Person,Identity,骑士,knight,
Person,Identity,女仆,housemaid,
Person,Identity,舞者,dancer,
Person,Identity,芭蕾舞演员,ballerina,
Person,Identity,体操教练,gym_leader,
Person,Identity,伪娘,trap,
Person,Identity,女人,female,
Person,Identity,后宫,harem,
Person,Identity,偶像,idol,
Person,Identity,男人,male,
Person,Identity,牧师,priest,
Person,Identity,神职人员(基督教),cleric,
Person,Identity,和風女仆,wa_maid,
Person,Identity,搞基,yaoi,
Person,Identity,百合,yuri,
Person,Identity,白化病患者,albino,
