type,key,value
mediums,3D Printing,3d Printing art of
mediums,Acrylic Paint,Acrylic Paint art of
mediums,Airbrush,Airbrush art of
mediums,Algorithmic,Algorithmic art of
mediums,Animation,Animation art of
mediums,Art Glass,Art Glass art of
mediums,Assemblage,Assemblage art of
mediums,Augmented Reality,Augmented Reality art of
mediums,Batik,Batik art of
mediums,Beadwork,Beadwork art of
mediums,Body Painting,Body Painting art of
mediums,Bookbinding,Bookbinding art of
mediums,Bronze,Bronze art of
mediums,Calligraphy,Calligraphy art of
mediums,Cast Paper,Cast Paper art of
mediums,Ceramics,Ceramics art of
mediums,Chalk,Chalk art of
mediums,Charcoal,Charcoal art of
mediums,Clay,Clay art of
mediums,Collage,Collage art of
mediums,Collagraphy,Collagraphy art of
mediums,Colored Pencil,Colored Pencil art of
mediums,Computer-generated Imagery (CGI),Computer-generated Imagery (cgi) art of
mediums,Conceptual,Conceptual art of
mediums,Copper Etching,Copper Etching art of
mediums,Crochet,Crochet art of
mediums,Decoupage,Decoupage art of
mediums,Digital Mosaic,Digital Mosaic art of
mediums,Digital Painting,Digital Painting art of
mediums,Digital Sculpture,Digital Sculpture art of
mediums,Diorama,Diorama art of
mediums,Embroidery,Embroidery art of
mediums,Enamel,Enamel art of
mediums,Encaustic Painting,Encaustic Painting art of
mediums,Environmental,Environmental art of
mediums,Etching,Etching art of
mediums,Fabric,Fabric art of
mediums,Felting,Felting art of
mediums,Fiber,Fiber art of
mediums,Foam Carving,Foam Carving art of
mediums,Found Objects,Found Objects art of
mediums,Fresco,Fresco art of
mediums,Glass,Glass art of
mediums,Glitch,Glitch art of
mediums,Gold Leaf,Gold Leaf art of
mediums,Gouache,Gouache art of
mediums,Graffiti,Graffiti art of
mediums,Graphite Pencil,Graphite Pencil art of
mediums,Ice,Ice art of
mediums,Ink Wash Painting,Ink Wash Painting art of
mediums,Installation,Installation art of
mediums,Intaglio Printing,Intaglio Printing art of
mediums,Interactive Media,Interactive Media art of
mediums,Kinetic,Kinetic art of
mediums,Knitting,Knitting art of
mediums,Land,Land art of
mediums,Leather,Leather art of
mediums,Lenticular Printing,Lenticular Printing art of
mediums,Light Projection,Light Projection art of
mediums,Lithography,Lithography art of
mediums,Macrame,Macrame art of
